start          len=0 cap=0
append 00      len=01 cap=08
append 01      len=02 cap=08
append 02      len=03 cap=08
append 03      len=04 cap=08
append 04      len=05 cap=08
append 05      len=06 cap=08
append 06      len=07 cap=08
append 07      len=08 cap=08
append 08      len=09 cap=24
append 09      len=10 cap=24
append 10      len=11 cap=24
append 11      len=12 cap=24
append 12      len=13 cap=24
append 13      len=14 cap=24
append 14      len=15 cap=24
append 15      len=16 cap=24
append 16      len=17 cap=24
append 17      len=18 cap=24
append 18      len=19 cap=24
append 19      len=20 cap=24
